Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Glory,(1989),122 min,7.8,78        ,"140,130",$26.83M,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates."
How to Train Your Dragon 2,(2014),102 min,7.8,77        ,"351,287",$177.00M,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
Mississippi Burning,(1988),128 min,7.8,65        ,"105,333",$34.60M,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.
Kiki's Delivery Service,(1989),103 min,7.8,85        ,"154,426",0,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
Hunt for the Wilderpeople,(2016),101 min,7.8,81        ,"136,356",$5.20M,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
The King of Comedy,(1982),109 min,7.8,73        ,"111,159",$2.50M,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself."
The Conversation,(1974),113 min,7.8,87        ,"116,804",$4.42M,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
Dawn of the Dead,(1978),127 min,7.8,71        ,"124,922",$5.10M,"During an escalating zombie epidemic, two Philadelphia SWAT team members, a traffic reporter and his TV executive girlfriend seek refuge in a secluded shopping mall."
Changeling,(2008),141 min,7.8,63        ,"261,008",$35.74M,Grief-stricken mother Christine Collins takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child.
Night of the Living Dead,(1968),96 min,7.8,89        ,"134,171",$0.09M,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.
Gaslight,(1944),114 min,7.8,78        ,"31,774",0,"Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife insane."
The Best Offer,(2013),131 min,7.8,49        ,"124,336",$0.09M,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
The Right Stuff,(1983),193 min,7.8,91        ,"63,768",$21.50M,"The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred."
Letters from Iwo Jima,(2006),141 min,7.8,89        ,"167,098",$13.76M,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
The Killing Fields,(1984),141 min,7.8,76        ,"57,659",$34.70M,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians."
The Umbrellas of Cherbourg,(1964),91 min,7.8,86        ,"29,644",$0.03M,A young woman separated from her lover by war faces a life-altering decision.
All That Jazz,(1979),123 min,7.8,72        ,"33,760",$37.82M,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
Ed Wood,(1994),127 min,7.8,70        ,"180,578",$5.89M,Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams despite his lack of talent.
My Fair Lady,(1964),170 min,7.8,95        ,"98,962",$72.00M,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society."
October Sky,(1999),108 min,7.8,71        ,"95,216",$32.48M,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes."
Cabaret,(1972),124 min,7.8,80        ,"57,509",$42.77M,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
Days of Heaven,(1978),94 min,7.8,93        ,"60,652",0,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.
The Outlaw Josey Wales,(1976),135 min,7.8,69        ,"77,308",$31.80M,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.
My Left Foot,(1989),103 min,7.8,97        ,"77,485",$14.74M,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot."
The Day the Earth Stood Still,(1951),92 min,7.8,83        ,"84,132",0,"An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets."
Manhattan,(1979),96 min,7.8,83        ,"143,770",$45.70M,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
Batman: Mask of the Phantasm,(1993),76 min,7.8,65        ,"54,228",$5.62M,Batman is wrongly implicated in a series of murders of mob bosses actually committed by a new vigilante assassin.
Breaking the Waves,(1996),159 min,7.8,81        ,"69,641",$4.04M,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another."
Once,(I) (2007),86 min,7.8,90        ,"119,285",$9.44M,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story."
Guess Who's Coming to Dinner,(1967),108 min,7.8,63        ,"47,451",$56.70M,A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.
East of Eden,(1955),118 min,7.8,72        ,"47,524",0,"Two brothers in 1910s California struggle to maintain their strict, Bible-toting father's favor as an old secret about their long-absent mother comes to light."
Loving Vincent,(2017),94 min,7.8,62        ,"61,016",$6.74M,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there."
Whisper of the Heart,(1995),111 min,7.8,75        ,"67,709",0,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses."
Pride,(I) (2014),119 min,7.8,79        ,"60,041",0,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.
Freaks,(1932),64 min,7.8,80        ,"48,637",$0.63M,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
Lilya 4-Ever,(2002),109 min,7.8,83        ,"47,538",$0.18M,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life."
The Chaser,(2008),125 min,7.8,64        ,"69,848",0,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.
Hannah and Her Sisters,(1986),107 min,7.8,90        ,"73,947",$40.08M,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly."
"Aguirre, the Wrath of God",(1972),95 min,7.8,0,"59,672",0,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado."
Bringing Up Baby,(1938),102 min,7.8,91        ,"64,314",0,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby."
Stagecoach,(1939),96 min,7.8,93        ,"51,734",0,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.
Frankenstein,(1931),70 min,7.8,91        ,"76,199",0,Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.
All About My Mother,(1999),101 min,7.8,87        ,"100,248",$8.26M,"Pedro Almodovar's Oscar-winning comedy (Best Foreign Film, 1999) about a bereaved mother, and overwrought actress, her jealous lover and a pregnant nun."
"I, Daniel Blake",(2016),100 min,7.8,78        ,"62,585",$0.26M,"After surviving a heart-attack, a 59-year-old carpenter must fight bureaucratic forces to receive Employment and Support Allowance."
The Man Who Would Be King,(1975),129 min,7.8,91        ,"50,782",0,"Two former British soldiers in 1880s India decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great."
Red River,(1948),133 min,7.8,96        ,"32,959",0,"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son."
